Evaluation

batch_size=10
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cnn_window_size=3
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/NER/CONLL_2003_test_task/eng.testa'
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=100
emb_fn='./embeddings/glove.6B.100d.txt'
emb_load_all=False
epoch_num=100
evaluator='f1-connl'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=0
load=None
lr=0.01
lr_decay=0.05
min_epoch_num=50
model='CNNCNNCRF'
momentum=0.9
opt='sgd'
patience=15
report_fn='2020_10_21_15-57_33_report.txt'
rnn_hidden_dim=100
rnn_type='LSTM'
save='2020_10_21_15-57_33_tagger.hdf5'
save_best=True
seed_num=42
test='data/NER/CONLL_2003_test_task/eng.testb'
train='data/NER/CONLL_2003_test_task/eng.train'
verbose=True
word_len=20
word_seq_indexer=None

         epoch  |     train loss | f1-connl-train |   f1-connl-dev |  f1-connl-test 
--------------------------------------------------------------------------------------
              0 |           0.00 |           2.52 |           2.99 |           2.82 
              1 |         567.85 |          63.98 |          63.98 |          64.07 
              2 |         429.00 |          55.29 |          57.45 |          51.51 
              3 |         319.22 |          78.34 |          77.45 |          75.67 
              4 |         260.96 |          80.92 |          80.91 |          77.52 
              5 |         215.48 |          81.74 |          81.06 |          79.12 
              6 |         218.24 |          79.87 |          78.99 |          76.23 
              7 |         190.21 |          82.35 |          80.74 |          78.31 
              8 |         176.73 |          84.83 |          82.61 |          78.95 
              9 |         181.92 |          85.25 |          82.67 |          81.23 
             10 |         161.78 |          88.63 |          85.92 |          82.78 
             11 |         153.90 |          87.89 |          86.32 |          81.51 
             12 |         147.25 |          88.52 |          85.53 |          81.63 
             13 |         138.97 |          89.95 |          87.18 |          83.26 
             14 |         128.64 |          89.52 |          87.46 |          82.86 
             15 |         140.12 |          87.36 |          84.52 |          80.33 
             16 |         132.85 |          87.91 |          85.31 |          80.14 
             17 |         115.16 |          91.15 |          87.74 |          84.16 
             18 |         121.78 |          89.89 |          86.85 |          82.92 
             19 |         109.37 |          90.33 |          86.14 |          82.66 
             20 |         102.62 |          88.10 |          85.24 |          79.29 
             21 |          98.13 |          91.76 |          88.79 |          84.48 
             22 |          99.88 |          91.15 |          87.42 |          83.23 
             23 |          98.82 |          91.99 |          88.40 |          84.10 
             24 |         103.81 |          90.86 |          87.12 |          84.59 
             25 |          94.28 |          90.80 |          87.02 |          82.87 
             26 |          83.44 |          91.17 |          87.75 |          83.19 
             27 |         102.23 |          92.04 |          87.74 |          84.75 
             28 |          95.01 |          91.41 |          87.45 |          84.79 
             29 |          82.48 |          92.76 |          88.96 |          84.20 
             30 |          90.05 |          91.32 |          87.56 |          83.04 
             31 |          86.68 |          93.00 |          89.71 |          85.41 
             32 |          83.30 |          92.08 |          88.43 |          83.27 
             33 |          81.48 |          93.31 |          89.11 |          85.63 
             34 |          84.19 |          93.88 |          89.90 |          86.27 
             35 |          82.08 |          92.88 |          89.14 |          85.16 
             36 |          74.64 |          94.03 |          89.72 |          85.95 
             37 |          75.16 |          93.50 |          89.21 |          85.65 
             38 |          85.33 |          93.80 |          89.60 |          84.95 
             39 |          77.28 |          94.14 |          89.54 |          85.52 
             40 |          78.15 |          94.18 |          89.20 |          84.31 
             41 |          67.66 |          93.60 |          89.18 |          85.28 
             42 |          67.68 |          93.26 |          88.34 |          84.88 
             43 |          77.84 |          94.50 |          89.85 |          85.73 
             44 |          72.32 |          93.99 |          89.32 |          84.77 
             45 |          62.71 |          94.30 |          89.90 |          85.69 
             46 |          71.18 |          94.22 |          89.85 |          85.29 
             47 |          66.30 |          94.44 |          90.05 |          85.11 
             48 |          62.31 |          94.05 |          89.37 |          85.02 
             49 |          68.49 |          94.18 |          89.44 |          84.24 
             50 |          62.57 |          95.08 |          90.00 |          86.00 
             51 |          65.03 |          94.04 |          88.95 |          84.78 
             52 |          67.54 |          93.44 |          89.18 |          84.49 
             53 |          57.98 |          94.95 |          90.28 |          85.57 
             54 |          66.10 |          94.62 |          89.17 |          85.09 
             55 |          53.32 |          94.95 |          90.11 |          85.99 
             56 |          58.38 |          95.10 |          90.43 |          85.77 
             57 |          62.90 |          95.06 |          90.17 |          85.79 
             58 |          73.48 |          95.35 |          90.57 |          86.61 
             59 |          54.08 |          94.76 |          89.49 |          85.71 
             60 |          66.09 |          95.21 |          90.63 |          86.70 
